2-level
homogeneous many small
&& size_50000/random_tree_2 446410.833259 105690170
&& size_50000/random_tree_3 489191.979028 106161472
&& size_50000/random_tree_4 482700.613738 109215651
&& size_50000/random_tree_5 335246.777951 107690565
&& size_50000/random_tree_5 335246.777951 107043688
many small
/work/kulagins/tree-scheduler/real_Trees/random_trees/10_children
blabla
&& size_10000/random_tree_1 25020.796696 4274797
&& size_10000/random_tree_2 29338.564529 656689
&& size_10000/random_tree_3 7548.944858 540112
&& size_15000/random_tree_1 48731.526674 1089261
&& size_15000/random_tree_2 20423.706747 996869
&& size_15000/random_tree_3 34513.198461 869784
&& size_20000/random_tree_1 17754.788202 1695121
&& size_20000/random_tree_2 27858.409548 2303411
&& size_20000/random_tree_3 15202.703522 1209419
&& size_25000/random_tree_1 16380.851059 3388047
&& size_25000/random_tree_2 19511.489440 2324034
&& size_25000/random_tree_3 35781.673937 2451709
&& size_5000/random_tree_1 25222.427429 660242
&& size_5000/random_tree_2 15461.449385 374665
&& size_5000/random_tree_3 21621.738656 718833
&& size_5000/random_tree_3 21621.738656 718783
/work/kulagins/tree-scheduler/real_Trees/random_trees/all_large
blabla
&& size_10000/random_tree_1 82745.545250 659135
&& size_10000/random_tree_10 130597.463272 826398
&& size_10000/random_tree_2 250605.646094 739016
&& size_10000/random_tree_3 205841.757697 767719
&& size_10000/random_tree_4 157259.791022 633001
&& size_10000/random_tree_5 148363.234747 871941
&& size_10000/random_tree_6 147552.997592 609112
&& size_10000/random_tree_7 212734.294073 659145
&& size_10000/random_tree_8 153742.393617 613629
&& size_10000/random_tree_9 159110.701777 577872
&& size_2000/random_tree_1 119683.874200 69544
&& size_2000/random_tree_10 62898.651275 27065
&& size_2000/random_tree_2 70128.747163 29896
&& size_2000/random_tree_3 97943.068849 29874
&& size_2000/random_tree_4 223237.580089 34184
&& size_2000/random_tree_5 47287.710782 31961
&& size_2000/random_tree_6 271821.337983 29534
&& size_2000/random_tree_7 222502.709343 112906
&& size_2000/random_tree_8 69036.439333 34281
&& size_2000/random_tree_9 209000.484611 36527
&& size_20000/random_tree_1 219260.147873 2206749
&& size_20000/random_tree_2 213476.003498 2680415
&& size_20000/random_tree_3 277652.376251 3038117
&& size_20000/random_tree_4 142588.354251 2714351
&& size_20000/random_tree_5 199311.943849 3049143
&& size_30000/random_tree_1 332049.627876 5197096
&& size_30000/random_tree_2 226223.886131 6056205
&& size_30000/random_tree_3 269749.428166 6468513
&& size_30000/random_tree_4 220765.062281 5167539
&& size_30000/random_tree_5 283922.413966 7313737
&& size_4000/random_tree_1 239333.985395 146862
&& size_4000/random_tree_10 208422.019513 104740
&& size_4000/random_tree_2 145574.579024 122256
&& size_4000/random_tree_3 100958.618402 115863
&& size_4000/random_tree_4 170101.112999 130854
&& size_4000/random_tree_5 74859.137129 154607
&& size_4000/random_tree_6 248115.021441 153627
&& size_4000/random_tree_7 102573.730156 96737
&& size_4000/random_tree_8 120411.571945 105426
&& size_4000/random_tree_9 143531.849554 164929
&& size_50000/random_tree_1 289081.103531 16921626
&& size_50000/random_tree_2 304520.909934 17871108
&& size_50000/random_tree_3 198906.258857 15902694
&& size_50000/random_tree_4 356463.089381 16581353
&& size_50000/random_tree_5 332590.285725 16864602
&& size_50000/random_tree_5 332590.285725 16812527
/work/kulagins/tree-scheduler/real_Trees/random_trees/large_makespan_weights
blabla
&& size_10000/random_tree_1 88315.017024 1183638
&& size_10000/random_tree_10 280137.389895 1552201
&& size_10000/random_tree_2 236109.663607 1606121
&& size_10000/random_tree_3 262250.106706 4283319
&& size_10000/random_tree_4 139999.324297 1236667
&& size_10000/random_tree_5 78452.538200 2229897
&& size_10000/random_tree_6 56355.498352 4346929
&& size_10000/random_tree_7 476837.924897 1453340
&& size_10000/random_tree_8 200268.624191 5543178
&& size_10000/random_tree_9 223503.252303 2283892
&& size_2000/random_tree_1 324709.327374 155827
&& size_2000/random_tree_10 71482.533678 69946
&& size_2000/random_tree_2 91885.950269 92157
&& size_2000/random_tree_3 181788.568540 161844
&& size_2000/random_tree_4 156492.183164 320017
&& size_2000/random_tree_5 250254.782819 119436
&& size_2000/random_tree_6 163074.684892 138858
&& size_2000/random_tree_7 281172.942624 130517
&& size_2000/random_tree_8 180878.563456 101447
&& size_2000/random_tree_9 63125.884641 79940
&& size_20000/random_tree_1 153137.542465 13173114
&& size_20000/random_tree_2 172432.796149 11576659
&& size_20000/random_tree_3 82088.536483 58908163
&& size_20000/random_tree_4 86473.723862 5112252
&& size_20000/random_tree_5 101396.163428 14258896
&& size_30000/random_tree_1 225993.502579 30848813
&& size_30000/random_tree_2 297327.990473 50846897
&& size_30000/random_tree_3 80742.083497 8335791
&& size_30000/random_tree_4 94764.023924 33774747
&& size_30000/random_tree_5 222557.039516 57838043
&& size_4000/random_tree_1 98117.186394 131408
&& size_4000/random_tree_10 165513.209977 357074
&& size_4000/random_tree_2 258198.215367 502991
&& size_4000/random_tree_3 127211.039531 386199
&& size_4000/random_tree_4 205335.735866 403500
&& size_4000/random_tree_5 178161.917002 775582
&& size_4000/random_tree_6 176744.876108 881122
&& size_4000/random_tree_7 101836.059850 648232
&& size_4000/random_tree_8 102163.610176 330180
&& size_4000/random_tree_9 69676.569200 258912
&& size_50000/random_tree_1 329382.124994 111939960
&& size_50000/random_tree_2 124266.595297 206450230
&& size_50000/random_tree_3 232267.173514 67978680
&& size_50000/random_tree_4 245726.920045 23995695
&& size_50000/random_tree_5 26151.754867 1986799
&& size_50000/random_tree_5 26151.754867 1979529
/work/kulagins/tree-scheduler/real_Trees/random_trees/20_children
blabla
&& size_10000/random_tree_1 16719.824303 1471234
&& size_10000/random_tree_2 13045.230508 557622
&& size_10000/random_tree_3 19428.026747 1866974
&& size_15000/random_tree_1 10645.359659 1216296
&& size_15000/random_tree_2 16328.576044 1259902
&& size_15000/random_tree_3 7360.176580 1079563
&& size_20000/random_tree_1 36163.098818 1750097
&& size_20000/random_tree_2 40624.228219 2248466
&& size_20000/random_tree_3 34570.676562 1946223
&& size_25000/random_tree_1 7454.786646 2534814
&& size_25000/random_tree_2 26625.912631 2673219
&& size_25000/random_tree_3 12517.508575 2117341
&& size_5000/random_tree_1 17430.361349 234077
&& size_5000/random_tree_2 22218.583059 587947
&& size_5000/random_tree_3 9593.207458 228241
&& size_5000/random_tree_3 9593.207458 227844
/work/kulagins/tree-scheduler/real_Trees/random_trees/all_small
blabla
&& size_10000/random_tree_1 1577.014588 323691
&& size_10000/random_tree_10 437.009173 203872
&& size_10000/random_tree_2 1169.639568 366991
&& size_10000/random_tree_3 885.715587 391343
&& size_10000/random_tree_4 2172.455398 302653
&& size_10000/random_tree_5 2242.704168 2013373
&& size_10000/random_tree_6 1029.901227 381378
&& size_10000/random_tree_7 833.913247 159983
&& size_10000/random_tree_8 942.984496 314530
&& size_10000/random_tree_9 1626.557476 332962
&& size_2000/random_tree_1 1151.583305 72278
&& size_2000/random_tree_10 1216.059533 99814
&& size_2000/random_tree_2 1603.766352 65326
&& size_2000/random_tree_3 2541.326486 53945
&& size_2000/random_tree_4 322.623369 51234
&& size_2000/random_tree_5 1144.016026 36545
&& size_2000/random_tree_6 995.750841 70981
&& size_2000/random_tree_7 1945.453033 69868
&& size_2000/random_tree_8 2246.392457 128541
&& size_2000/random_tree_9 1237.227114 116268
&& size_20000/random_tree_1 1264.999521 718358
&& size_20000/random_tree_2 1308.412112 1285738
&& size_20000/random_tree_3 788.645009 612709
&& size_20000/random_tree_4 2193.262082 1078564
&& size_20000/random_tree_5 904.497338 628220
&& size_30000/random_tree_1 2354.065611 1694668
&& size_30000/random_tree_2 1403.200244 1358351
&& size_30000/random_tree_3 1442.358105 1738024
&& size_30000/random_tree_4 2565.055623 2486646
&& size_30000/random_tree_5 3236.915599 2011493
&& size_4000/random_tree_1 1457.895384 505800
&& size_4000/random_tree_10 972.195693 108983
&& size_4000/random_tree_2 1239.874297 350606
&& size_4000/random_tree_3 1439.326063 268486
&& size_4000/random_tree_4 3098.577710 218523
&& size_4000/random_tree_5 2299.358049 414702
&& size_4000/random_tree_6 1803.094346 328433
&& size_4000/random_tree_7 456.804497 42496
&& size_4000/random_tree_8 614.177039 82005
&& size_4000/random_tree_9 524.856602 64722
&& size_50000/random_tree_1 2119.699474 5356235
&& size_50000/random_tree_2 2253.329307 4603862
&& size_50000/random_tree_3 2562.811626 5148161
&& size_50000/random_tree_4 2896.705845 5497962
&& size_50000/random_tree_5 995.524630 4825823
&& size_50000/random_tree_5 995.524630 4827444
/work/kulagins/tree-scheduler/real_Trees/random_trees/large_node_weights
blabla
&& size_10000/random_tree_1 21742.080100 1482680
&& size_10000/random_tree_10 27618.074801 1088384
&& size_10000/random_tree_2 10102.761426 393880
&& size_10000/random_tree_3 18736.803674 341970
&& size_10000/random_tree_4 7315.672612 201941
&& size_10000/random_tree_5 39340.100125 1900010
&& size_10000/random_tree_6 24771.379843 3737685
&& size_10000/random_tree_7 10744.823683 335795
&& size_10000/random_tree_8 20109.864399 324626
&& size_10000/random_tree_9 24651.353896 1760826
&& size_2000/random_tree_1 28246.808774 176739
&& size_2000/random_tree_10 5143.838361 93119
&& size_2000/random_tree_2 12093.928335 184828
&& size_2000/random_tree_3 4582.805626 115939
&& size_2000/random_tree_4 6498.484542 64311
&& size_2000/random_tree_5 13232.562472 198861
&& size_2000/random_tree_6 15163.954524 108104
&& size_2000/random_tree_7 8618.052489 179624
&& size_2000/random_tree_8 10163.227772 107282
&& size_2000/random_tree_9 24543.903272 128496
&& size_20000/random_tree_1 17987.553751 1355855
&& size_20000/random_tree_2 6608.737083 686250
&& size_20000/random_tree_3 27623.308694 1522439
&& size_20000/random_tree_4 12402.172908 817048
&& size_20000/random_tree_5 9159.721351 569312
&& size_30000/random_tree_1 8618.540844 2439129
&& size_30000/random_tree_2 7531.554304 2577415
&& size_30000/random_tree_3 22952.813758 2562490
&& size_30000/random_tree_4 32567.458924 2339526
&& size_30000/random_tree_5 26065.857224 2083989
&& size_4000/random_tree_1 13141.340232 215999
&& size_4000/random_tree_10 11791.212191 387433
&& size_4000/random_tree_2 10848.770094 586362
&& size_4000/random_tree_3 17745.509824 521386
&& size_4000/random_tree_4 23473.646071 1583184
&& size_4000/random_tree_5 17778.686094 364428
&& size_4000/random_tree_6 9044.824164 332404
&& size_4000/random_tree_7 7017.642143 304761
&& size_4000/random_tree_8 10581.215760 158204
&& size_4000/random_tree_9 17709.725746 430558
&& size_50000/random_tree_1 48574.463287 7856287
&& size_50000/random_tree_2 18501.792173 4213799
&& size_50000/random_tree_3 14150.227970 7971149
&& size_50000/random_tree_4 25628.184076 6101246
&& size_50000/random_tree_5 12164.987070 7001455
&& size_50000/random_tree_5 12164.987070 7025297
/work/kulagins/tree-scheduler/real_Trees/random_trees/3_children
blabla
&& size_10000/random_tree_1 12120.355034 934087
&& size_10000/random_tree_2 31461.238391 819106
&& size_10000/random_tree_3 27016.450939 939507
&& size_15/random_tree_1 2245.123210 53
&& size_15000/random_tree_1 53471.968998 1664388
&& size_15000/random_tree_2 70261.758263 1369565
&& size_15000/random_tree_3 57335.066925 2036511
&& size_20/random_tree_1 4253.203671 67
&& size_20000/random_tree_1 36692.916247 3229094
&& size_20000/random_tree_2 20105.755964 2048093
&& size_20000/random_tree_3 27117.124698 2524876
&& size_25000/random_tree_1 52260.791509 13147323
&& size_25000/random_tree_2 34590.515524 4672230
&& size_25000/random_tree_3 36505.982576 3305392
&& size_5000/random_tree_1 21316.640006 1584663
&& size_5000/random_tree_2 25305.124944 816426
&& size_5000/random_tree_3 15950.193452 1640100
&& size_5000/random_tree_3 15950.193452 1639870
/work/kulagins/tree-scheduler/real_Trees/random_trees/large_edge_weights
blabla
&& size_10000/random_tree_1 44127.181498 4115042
&& size_10000/random_tree_10 41414.831497 3783032
&& size_10000/random_tree_2 100956.662615 3886748
&& size_10000/random_tree_3 78449.846845 3886127
&& size_10000/random_tree_4 42196.915277 4095576
&& size_10000/random_tree_5 58495.218543 3814184
&& size_10000/random_tree_6 54288.115134 3878949
&& size_10000/random_tree_7 53370.331800 3810577
&& size_10000/random_tree_8 43372.130703 3868506
&& size_10000/random_tree_9 51398.318707 4062146
&& size_2000/random_tree_1 18031.567080 162250
&& size_2000/random_tree_10 12087.452452 157684
&& size_2000/random_tree_2 16172.684381 147286
&& size_2000/random_tree_3 16165.084921 156861
&& size_2000/random_tree_4 17725.206795 154204
&& size_2000/random_tree_5 14568.807416 175950
&& size_2000/random_tree_6 20038.022009 158660
&& size_2000/random_tree_7 15500.065798 157133
&& size_2000/random_tree_8 15847.762558 154439
&& size_2000/random_tree_9 23150.139244 160904
&& size_20000/random_tree_1 175685.775135 15516134
&& size_20000/random_tree_2 99736.287109 16366102
&& size_20000/random_tree_3 163002.724383 16010510
&& size_20000/random_tree_4 63402.329863 16048393
&& size_20000/random_tree_5 71072.536651 15516925
&& size_30000/random_tree_1 196896.243546 36264711
&& size_30000/random_tree_2 109176.960815 37084070
&& size_30000/random_tree_3 203795.508807 36013244
&& size_30000/random_tree_4 129143.059557 36619378
&& size_30000/random_tree_5 97190.663065 37386098
&& size_4000/random_tree_1 35820.957915 613782
&& size_4000/random_tree_10 56946.694880 650141
&& size_4000/random_tree_2 39253.977903 610482
&& size_4000/random_tree_3 29872.796063 597798
&& size_4000/random_tree_4 36055.733348 628479
&& size_4000/random_tree_5 24876.850139 618405
&& size_4000/random_tree_6 38540.257499 643851
&& size_4000/random_tree_7 26049.166236 634927
&& size_4000/random_tree_8 32666.612288 624343
&& size_4000/random_tree_9 35163.355124 589767
&& size_50000/random_tree_1 156706.919637 108937239
&& size_50000/random_tree_2 128682.015479 108360098
&& size_50000/random_tree_3 489191.979028 107408085
&& size_50000/random_tree_4 399893.654806 114595786
&& size_50000/random_tree_5 183566.668287 108676433
&& size_50000/random_tree_5 183566.668287 109279520
avg avg
/work/kulagins/tree-scheduler/real_Trees/random_trees/10_children
blabla
&& size_10000/random_tree_1 8793.493491 352460
&& size_10000/random_tree_2 7461.146289 179612
&& size_10000/random_tree_3 3729.284179 160873
&& size_15000/random_tree_1 10675.169516 297440
&& size_15000/random_tree_2 6473.467800 317853
&& size_15000/random_tree_3 10288.777571 235990
&& size_20000/random_tree_1 6465.677304 462437
&& size_20000/random_tree_2 10747.451561 465858
&& size_20000/random_tree_3 5759.350717 469971
&& size_25000/random_tree_1 7234.523105 795126
&& size_25000/random_tree_2 6377.126541 716681
&& size_25000/random_tree_3 12635.091727 610674
&& size_5000/random_tree_1 7178.899456 52972
&& size_5000/random_tree_2 5013.587893 78274
&& size_5000/random_tree_3 7190.519630 122109
&& size_5000/random_tree_3 7190.519630 122023
/work/kulagins/tree-scheduler/real_Trees/random_trees/all_large
blabla
&& size_10000/random_tree_1 109241.398295 562615
&& size_10000/random_tree_10 148929.622310 710157
&& size_10000/random_tree_2 176172.567310 612665
&& size_10000/random_tree_3 152060.762656 603639
&& size_10000/random_tree_4 173662.319851 640252
&& size_10000/random_tree_5 126450.891243 695760
&& size_10000/random_tree_6 149671.292144 558582
&& size_10000/random_tree_7 192334.778178 610089
&& size_10000/random_tree_8 171556.003046 639623
&& size_10000/random_tree_9 176871.793294 579635
&& size_2000/random_tree_1 109398.918629 42962
&& size_2000/random_tree_10 66703.549667 28271
&& size_2000/random_tree_2 73388.274387 30465
&& size_2000/random_tree_3 100990.524660 37067
&& size_2000/random_tree_4 105088.893685 110734
&& size_2000/random_tree_5 49810.946035 31609
&& size_2000/random_tree_6 102219.871446 25075
&& size_2000/random_tree_7 104111.139211 35465
&& size_2000/random_tree_8 71805.420872 33913
&& size_2000/random_tree_9 101127.002025 80435
&& size_20000/random_tree_1 202834.456770 2076426
&& size_20000/random_tree_2 220534.692154 2255659
&& size_20000/random_tree_3 302713.362801 2616386
&& size_20000/random_tree_4 176763.176141 2398099
&& size_20000/random_tree_5 211263.662308 2260449
&& size_30000/random_tree_1 385890.682720 5238374
&& size_30000/random_tree_2 303963.430243 4835012
&& size_30000/random_tree_3 349513.062859 5307915
&& size_30000/random_tree_4 296754.842992 4867974
&& size_30000/random_tree_5 316042.971409 5752192
&& size_4000/random_tree_1 133735.278358 104687
&& size_4000/random_tree_10 120969.824060 96189
&& size_4000/random_tree_2 75999.452859 106487
&& size_4000/random_tree_3 110659.074570 116000
&& size_4000/random_tree_4 93448.899128 103968
&& size_4000/random_tree_5 75807.376887 111214
&& size_4000/random_tree_6 127904.430180 112592
&& size_4000/random_tree_7 106512.180055 99149
&& size_4000/random_tree_8 125843.912623 106056
&& size_4000/random_tree_9 102539.226102 124307
&& size_50000/random_tree_1 460566.016055 14705695
&& size_50000/random_tree_2 565904.381574 14086935
&& size_50000/random_tree_3 422765.568799 14906780
&& size_50000/random_tree_4 425311.025149 15253093
&& size_50000/random_tree_5 563063.726107 14190102
&& size_50000/random_tree_5 563063.726107 14135318
/work/kulagins/tree-scheduler/real_Trees/random_trees/large_makespan_weights
blabla
&& size_10000/random_tree_1 33332.999684 335708
&& size_10000/random_tree_10 51015.191898 415640
&& size_10000/random_tree_2 52404.826281 271989
&& size_10000/random_tree_3 47216.256699 1106828
&& size_10000/random_tree_4 21401.721654 601853
&& size_10000/random_tree_5 19841.858736 1391826
&& size_10000/random_tree_6 15742.423375 2183452
&& size_10000/random_tree_7 48322.883854 272270
&& size_10000/random_tree_8 43560.317900 1186481
&& size_10000/random_tree_9 49949.063116 863869
&& size_2000/random_tree_1 33211.271928 33631
&& size_2000/random_tree_10 15520.711752 25698
&& size_2000/random_tree_2 31165.197722 33621
&& size_2000/random_tree_3 45343.357622 35515
&& size_2000/random_tree_4 26909.628824 60759
&& size_2000/random_tree_5 33141.060449 57317
&& size_2000/random_tree_6 34092.952041 74175
&& size_2000/random_tree_7 46978.566464 15392
&& size_2000/random_tree_8 27297.722652 23753
&& size_2000/random_tree_9 32401.321527 37283
&& size_20000/random_tree_1 45616.494060 4331258
&& size_20000/random_tree_2 50651.718847 2448432
&& size_20000/random_tree_3 22105.661348 5596396
&& size_20000/random_tree_4 36957.226963 1431716
&& size_20000/random_tree_5 24421.283284 7357762
&& size_30000/random_tree_1 59459.215234 5260752
&& size_30000/random_tree_2 63699.212632 17425488
&& size_30000/random_tree_3 39573.806589 3588266
&& size_30000/random_tree_4 29095.792088 4591750
&& size_30000/random_tree_5 42102.083078 14035503
&& size_4000/random_tree_1 21109.826776 44380
&& size_4000/random_tree_10 42927.987822 113577
&& size_4000/random_tree_2 44617.859956 95949
&& size_4000/random_tree_3 43577.828840 115671
&& size_4000/random_tree_4 36459.937301 72620
&& size_4000/random_tree_5 31290.648993 158302
&& size_4000/random_tree_6 36805.573232 197500
&& size_4000/random_tree_7 22116.092757 255761
&& size_4000/random_tree_8 27145.256567 201280
&& size_4000/random_tree_9 19351.745565 92718
&& size_50000/random_tree_1 50461.484453 13194433
&& size_50000/random_tree_2 47054.384082 40783206
&& size_50000/random_tree_3 61152.855231 14388329
&& size_50000/random_tree_4 71073.352653 10363907
&& size_50000/random_tree_5 27367.745697 2253952
&& size_50000/random_tree_5 27367.745697 2264600
/work/kulagins/tree-scheduler/real_Trees/random_trees/20_children
blabla
&& size_10000/random_tree_1 8650.175052 290555
&& size_10000/random_tree_2 5044.717279 148047
&& size_10000/random_tree_3 8312.221120 353637
&& size_15000/random_tree_1 6247.134565 399458
&& size_15000/random_tree_2 6681.988272 324208
&& size_15000/random_tree_3 4773.565289 348813
&& size_20000/random_tree_1 11249.032195 528859
&& size_20000/random_tree_2 12450.476380 665537
&& size_20000/random_tree_3 13109.689457 450899
&& size_25000/random_tree_1 5573.034325 974325
&& size_25000/random_tree_2 11742.457642 877179
&& size_25000/random_tree_3 6067.056286 879577
&& size_5000/random_tree_1 5582.392243 54137
&& size_5000/random_tree_2 6672.672804 77866
&& size_5000/random_tree_3 3883.430171 79914
&& size_5000/random_tree_3 3883.430171 80056
/work/kulagins/tree-scheduler/real_Trees/random_trees/all_small
blabla
&& size_10000/random_tree_1 565.238822 192963
&& size_10000/random_tree_10 465.221163 215307
&& size_10000/random_tree_2 619.189820 182940
&& size_10000/random_tree_3 478.402962 218762
&& size_10000/random_tree_4 755.838136 200569
&& size_10000/random_tree_5 951.960065 577998
&& size_10000/random_tree_6 432.270777 368433
&& size_10000/random_tree_7 837.352334 666674
&& size_10000/random_tree_8 391.547911 256897
&& size_10000/random_tree_9 785.274534 333728
&& size_2000/random_tree_1 365.289356 40831
&& size_2000/random_tree_10 471.618491 37016
&& size_2000/random_tree_2 405.625408 34014
&& size_2000/random_tree_3 518.059676 19508
&& size_2000/random_tree_4 216.332816 27904
&& size_2000/random_tree_5 468.064994 12742
&& size_2000/random_tree_6 411.132619 44927
&& size_2000/random_tree_7 578.157237 22132
&& size_2000/random_tree_8 551.843726 18177
&& size_2000/random_tree_9 289.033465 42825
&& size_20000/random_tree_1 746.319184 513249
&& size_20000/random_tree_2 884.184300 892730
&& size_20000/random_tree_3 832.705055 681952
&& size_20000/random_tree_4 1106.673802 717791
&& size_20000/random_tree_5 657.216204 535627
&& size_30000/random_tree_1 1066.662463 1266661
&& size_30000/random_tree_2 1520.473791 1514761
&& size_30000/random_tree_3 1047.233441 1210939
&& size_30000/random_tree_4 1377.318697 1540228
&& size_30000/random_tree_5 1199.691494 1453760
&& size_4000/random_tree_1 388.316612 181381
&& size_4000/random_tree_10 596.024084 46686
&& size_4000/random_tree_2 461.171340 74914
&& size_4000/random_tree_3 650.310661 175366
&& size_4000/random_tree_4 681.699277 59189
&& size_4000/random_tree_5 640.941586 139240
&& size_4000/random_tree_6 615.008596 169670
&& size_4000/random_tree_7 456.804497 42818
&& size_4000/random_tree_8 283.268361 50072
&& size_4000/random_tree_9 524.856602 65159
&& size_50000/random_tree_1 1356.458566 4146694
&& size_50000/random_tree_2 1388.040375 3122309
&& size_50000/random_tree_3 1469.587103 3460522
&& size_50000/random_tree_4 1507.219091 6402212
&& size_50000/random_tree_5 949.970275 3479609
&& size_50000/random_tree_5 949.970275 3472243
/work/kulagins/tree-scheduler/real_Trees/random_trees/large_node_weights
blabla
&& size_10000/random_tree_1 9501.659333 514985
&& size_10000/random_tree_10 9145.170261 168921
&& size_10000/random_tree_2 5187.763044 227562
&& size_10000/random_tree_3 6272.898590 249889
&& size_10000/random_tree_4 7520.713364 208462
&& size_10000/random_tree_5 9481.582969 329775
&& size_10000/random_tree_6 9497.909865 1267641
&& size_10000/random_tree_7 6788.854246 359688
&& size_10000/random_tree_8 6232.351564 172140
&& size_10000/random_tree_9 8721.106556 357648
&& size_2000/random_tree_1 5620.140335 46904
&& size_2000/random_tree_10 2442.924941 61309
&& size_2000/random_tree_2 3921.083731 116968
&& size_2000/random_tree_3 2018.824017 34065
&& size_2000/random_tree_4 2993.911446 37826
&& size_2000/random_tree_5 2600.433989 65775
&& size_2000/random_tree_6 4698.679381 29975
&& size_2000/random_tree_7 2060.926194 108211
&& size_2000/random_tree_8 3423.944706 39140
&& size_2000/random_tree_9 5804.890914 15867
&& size_20000/random_tree_1 11452.547171 794054
&& size_20000/random_tree_2 6968.303332 691052
&& size_20000/random_tree_3 11122.945917 656994
&& size_20000/random_tree_4 13073.156141 810035
&& size_20000/random_tree_5 9664.515616 627181
&& size_30000/random_tree_1 7065.341951 1527250
&& size_30000/random_tree_2 5896.178322 1997860
&& size_30000/random_tree_3 10696.651784 1888838
&& size_30000/random_tree_4 11699.510692 1805205
&& size_30000/random_tree_5 13504.342291 1257569
&& size_4000/random_tree_1 5940.017374 124394
&& size_4000/random_tree_10 4342.477913 107634
&& size_4000/random_tree_2 4496.114340 317266
&& size_4000/random_tree_3 4773.200890 98361
&& size_4000/random_tree_4 4347.968474 326286
&& size_4000/random_tree_5 5451.737515 124258
&& size_4000/random_tree_6 4561.594314 238619
&& size_4000/random_tree_7 3451.578881 82043
&& size_4000/random_tree_8 6715.504885 61463
&& size_4000/random_tree_9 4520.027349 81292
&& size_50000/random_tree_1 15885.041805 3427159
&& size_50000/random_tree_2 12441.754635 3272270
&& size_50000/random_tree_3 11796.821627 4242130
&& size_50000/random_tree_4 14231.479359 4048478
&& size_50000/random_tree_5 9613.222076 4443321
&& size_50000/random_tree_5 9613.222076 4457538
/work/kulagins/tree-scheduler/real_Trees/random_trees/3_children
blabla
&& size_10000/random_tree_1 4293.989242 378033
&& size_10000/random_tree_2 22536.369097 546529
&& size_10000/random_tree_3 9060.231696 561922
&& size_15/random_tree_1 2245.123210 52
&& size_15000/random_tree_1 29440.955101 903538
&& size_15000/random_tree_2 29488.054862 734143
&& size_15000/random_tree_3 36347.651719 938895
&& size_20/random_tree_1 4253.203671 66
&& size_20000/random_tree_1 24124.081771 1596688
&& size_20000/random_tree_2 15422.678207 1093539
&& size_20000/random_tree_3 10827.608162 1502660
&& size_25000/random_tree_1 38265.552085 4320082
&& size_25000/random_tree_2 23405.157370 3308291
&& size_25000/random_tree_3 22237.347660 2075242
&& size_5000/random_tree_1 17085.024894 373951
&& size_5000/random_tree_2 23183.078169 448010
&& size_5000/random_tree_3 11608.069716 709111
&& size_5000/random_tree_3 11608.069716 709221
/work/kulagins/tree-scheduler/real_Trees/random_trees/large_edge_weights
blabla
&& size_10000/random_tree_1 93635.432748 3946446
&& size_10000/random_tree_10 61894.575860 3714442
&& size_10000/random_tree_2 123166.452259 3907168
&& size_10000/random_tree_3 87718.480585 3960443
&& size_10000/random_tree_4 107303.637080 3896188
&& size_10000/random_tree_5 95282.350729 3743805
&& size_10000/random_tree_6 81261.925113 3857779
&& size_10000/random_tree_7 67723.465518 3774833
&& size_10000/random_tree_8 79780.130574 3711746
&& size_10000/random_tree_9 109928.968340 3906874
&& size_2000/random_tree_1 20531.599384 165436
&& size_2000/random_tree_10 20134.360994 149154
&& size_2000/random_tree_2 20445.386107 147446
&& size_2000/random_tree_3 17263.650620 157518
&& size_2000/random_tree_4 19419.018924 154373
&& size_2000/random_tree_5 26924.029156 162783
&& size_2000/random_tree_6 23144.040031 158848
&& size_2000/random_tree_7 19043.889821 148412
&& size_2000/random_tree_8 20686.201887 146951
&& size_2000/random_tree_9 27192.966278 160873
&& size_20000/random_tree_1 215905.463275 15466153
&& size_20000/random_tree_2 146558.294978 15605402
&& size_20000/random_tree_3 207906.259992 16107465
&& size_20000/random_tree_4 215664.774679 15593881
&& size_20000/random_tree_5 135102.624223 15362465
&& size_30000/random_tree_1 263842.123039 37302597
&& size_30000/random_tree_2 183658.781941 36579165
&& size_30000/random_tree_3 224673.813119 36352064
&& size_30000/random_tree_4 241949.781598 36711242
&& size_30000/random_tree_5 263825.749130 37069212
&& size_4000/random_tree_1 43951.953287 613104
&& size_4000/random_tree_10 70346.583177 653068
&& size_4000/random_tree_2 48180.652178 611974
&& size_4000/random_tree_3 34569.447092 574290
&& size_4000/random_tree_4 42016.437617 629691
&& size_4000/random_tree_5 41269.185649 598915
&& size_4000/random_tree_6 44748.841948 609112
&& size_4000/random_tree_7 30951.327130 612775
&& size_4000/random_tree_8 37544.563803 612861
&& size_4000/random_tree_9 40547.626989 605636
&& size_50000/random_tree_1 289382.561034 104310919
&& size_50000/random_tree_2 568445.999909 105815573
&& size_50000/random_tree_3 554769.543578 106400186
&& size_50000/random_tree_4 505405.728168 109874976
&& size_50000/random_tree_5 471997.377445 108231086
&& size_50000/random_tree_5 471997.377445 108302596
few big
/work/kulagins/tree-scheduler/real_Trees/random_trees/10_children
blabla
&& size_10000/random_tree_1 8793.493491 354048
&& size_10000/random_tree_2 7461.146289 179422
&& size_10000/random_tree_3 4144.704065 190791
&& size_15000/random_tree_1 11289.494522 592090
&& size_15000/random_tree_2 7088.168422 385228
&& size_15000/random_tree_3 11132.706779 265864
&& size_20000/random_tree_1 7228.997784 553100
&& size_20000/random_tree_2 11754.737687 458544
